Sr.,Stock Name,Symbol,% Chg,Price,Volume
781,Shreyas Shipping & Logistics Limited,SHREYAS,0.04%,341,"54,091"
782,Dhampur Bio Organics Ltd,DBOL,0.04%,141.76,"63,740"
783,Sanghi Industries Limited,SANGHIIND,0.04%,99.91,"1,046,836"
784,Radiant Cash Management Services Ltd,RADIANTCMS,0.04%,79.98,"151,236"
785,Texmo Pipes And Products Limited,TEXMOPIPES,0.04%,76.05,"108,265"
786,Nippon India ETF 5 Year Gilt,GILT5YBEES,0.04%,56.48,"308,043"
787,Essar Shipping Limited,ESSARSHPNG,0.04%,54.84,"3,199,903"
788,Asian Paints Limited,ASIANPAINT,0.03%,2935.9,"817,429"
789,Jbm Auto Limited,JBMA,0.03%,2149.6,"233,214"
790,Icici Bank Limited,ICICIBANK,0.03%,1233.4,"9,535,575"
791,Pitti Engineering Ltd,PITTIENG,0.03%,1172.3,"164,353"
792,Godawari Power And Ispat Limited,GPIL,0.03%,1108.05,"162,342"
793,Kalyani Steels Limited,KSL,0.03%,981.4,"77,561"
794,Schneider Electric Infrastructure Limited,SCHNEIDER,0.03%,921.8,"358,035"
795,Sunteck Realty Limited,SUNTECK,0.03%,539.6,"553,315"
796,Suprajit Engineering Limited,SUPRAJIT,0.03%,524.9,"1,218,406"
797,Motilal Oswal Nifty Realty ETF,MOREALTY,0.03%,111.9,"93,074"
798,HDFCNIFIT,HDFCNIFIT,0.03%,38.65,"54,791"
799,Garware Hi Tech Films Ltd,GRWRHITECH,0.02%,2541.5,"117,746"
800,IDFC First Bank Ltd,IDFCFIRSTB,0.02%,81.19,"28,720,522"
801,Nippon India ETF Nifty IT,ITBEES,0.02%,40.24,"7,924,012"
802,ICICI Prudential S&P BSE Liquid Rate ETF,LIQUIDIETF,0.01%,1000.08,"1,289,813"
803,Prince Pipes & Fittings Ltd,PRINCEPIPE,0.01%,693.35,"147,996"
804,Kokuyo Camlin Limited,KOKUYOCMLN,0.01%,155.56,"74,652"
805,Bajaj Electricals Limited,BAJAJELEC,0%,1101.6,"60,273"
806,Automotive Stampings And Assemblies Limited,ASAL,0%,1037.05,"54,833"
807,SBI Nifty 1D Rate ETF,LIQUIDSBI,0%,1000,"202,073"
808,DSP BlackRock Liquid ETF,LIQUIDETF,0%,999.99,"1,047,983"
809,Indiamart Intermesh Ltd,INDIAMART,-0.01%,2698.8,"94,370"
810,Maan Aluminium Limited,MAANALU,-0.01%,140.16,"107,250"
811,Kalpataru Projects International Ltd,KPIL,-0.02%,1228,"173,093"
812,Ccl Products (india) Limited,CCL,-0.02%,588.8,"114,521"
813,Kolte - Patil Developers Limited,KOLTEPATIL,-0.02%,426.75,"97,426"
814,NIFTYETF,NIFTYETF,-0.02%,258.33,"265,504"
815,Symphony Limited,SYMPHONY,-0.03%,1152,"50,147"
816,Speciality Restaurants Limited,SPECIALITY,-0.03%,172.1,"74,220"
817,Aeroflex Industries Ltd,AEROFLEX,-0.03%,159.16,"611,773"
818,NIFTYIETF,NIFTYIETF,-0.04%,268.8,"450,247"
819,Star Cement Ltd,STARCEMENT,-0.04%,210.44,"260,893"
820,Allcargo Terminals Ltd,ATL,-0.04%,51.49,"733,419"
821,ICICI Prudential IT ETF,ITIETF,-0.05%,40.19,"520,916"
822,Suven Pharmaceuticals Ltd,SUVENPHAR,-0.06%,813.6,"217,390"
823,Jindal Poly Investment And Finance Company Limited,JPOLYINVST,-0.07%,893.4,"63,442"
824,North Eastern Carrying Corporation Limited,NECCLTD,-0.07%,29.4,"845,071"
825,Kopran Limited,KOPRAN,-0.08%,252.25,"428,547"
826,Peninsula Land Limited,PENINLAND,-0.08%,71.35,"1,201,680"
827,Mcleod Russel India Limited,MCLEODRUSS,-0.08%,26.65,"491,449"
828,Thyrocare Technologies Limited,THYROCARE,-0.09%,644.5,"166,613"
829,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,-0.09%,517.65,"2,445,253"
830,Sat Industries Ltd,SATINDLTD,-0.09%,91.32,"282,588"
831,Fiem Industries Limited,FIEMIND,-0.1%,1341.35,"123,531"
832,Jyothy Laboratories Limited,JYOTHYLAB,-0.1%,471.45,"498,504"
833,Seshasayee Paper And Boards Limited,SESHAPAPER,-0.1%,357.6,"116,361"
834,Gujarat State Fertilizers & Chemicals Limited,GSFC,-0.11%,243.48,"2,384,599"
835,Religare Enterprises Limited,RELIGARE,-0.11%,243.14,"952,591"
836,Satin Creditcare Network Limited,SATIN,-0.11%,220.01,"210,905"
837,National Fertilizers Limited,NFL,-0.11%,134.91,"7,760,421"
838,Lyka Labs Limited,LYKALABS,-0.11%,107.96,"73,259"
839,Niraj Cement Structurals Ltd,NIRAJ,-0.11%,52.78,"58,107"
840,Sharda Motor Industries Limited,SHARDAMOTR,-0.12%,2583.15,"105,091"
841,The Karnataka Bank Limited,KTKBANK,-0.12%,223.4,"791,075"
842,Bata India Limited,BATAINDIA,-0.13%,1507.65,"252,285"
843,Jk Lakshmi Cement Limited,JKLAKSHMI,-0.13%,870.6,"96,241"
844,AU Small Finance Bank,AUBANK,-0.13%,672.6,"1,225,024"
845,Precision Camshafts Limited,PRECAM,-0.13%,194.46,"196,338"
846,Central Bank Of India,CENTRALBK,-0.13%,62.18,"6,020,969"
847,KPI Green Energy Ltd,KPIGREEN,-0.14%,1782.95,"164,108"
848,PVR Inox Ltd,PVRINOX,-0.14%,1467.85,"285,865"
849,Likhitha Infrastructure Ltd,LIKHITHA,-0.14%,454.3,"129,749"
850,Indoco Remedies Limited,INDOCO,-0.14%,346.95,"73,961"
851,DCM Nouvelle Ltd,DCMNVL,-0.14%,280.32,"283,738"
852,Greenpanel Industries Ltd,GREENPANEL,-0.15%,331.2,"290,728"
853,Entertainment Network (india) Limited,ENIL,-0.15%,255.42,"85,799"
854,Union Bank Of India,UNIONBANK,-0.15%,135.73,"9,751,722"
855,Shree Renuka Sugars Limited,RENUKA,-0.15%,48.09,"12,025,327"
856,Jindal Saw Limited,JINDALSAW,-0.16%,552,"713,133"
857,Tata Chemicals Limited,TATACHEM,-0.17%,1101.75,"1,658,503"
858,Engineers India Limited,ENGINERSIN,-0.17%,268.5,"12,769,536"
859,Bharat Wire Ropes Limited,BHARATWIRE,-0.17%,266,"148,037"
860,Goldiam International Limited,GOLDIAM,-0.17%,176.95,"869,629"
861,Idfc Limited,IDFC,-0.17%,121.3,"3,464,439"
862,Nandan Denim Limited,NDL,-0.17%,46.57,"1,261,037"
863,Uniparts India Ltd,UNIPARTS,-0.18%,518.5,"64,739"
864,SBC Exports Ltd,SBC,-0.18%,27.61,"2,194,399"
865,Genus Paper & Boards Limited,GENUSPAPER,-0.18%,21.63,"1,066,242"
866,Infosys Limited,INFY,-0.19%,1647.45,"7,065,022"
867,Hcl Technologies Limited,HCLTECH,-0.19%,1519.4,"3,061,687"
868,Avalon Technologies Ltd,AVALON,-0.19%,539.15,"79,789"
869,Stanley Lifestyles Ltd,STANLEY,-0.19%,487.15,"487,401"
870,Bodal Chemicals Limited,BODALCHEM,-0.19%,78.35,"416,320"
871,Irb Infrastructure Developers Limited,IRB,-0.19%,67.56,"63,395,768"
872,SBI ETF Nifty 50,SETFNIF50,-0.2%,255.26,"1,649,929"
873,Adani Ports And Special Economic Zone Limited,ADANIPORTS,-0.21%,1500.45,"2,111,633"
874,Chalet Hotels Ltd,CHALET,-0.21%,849.75,"53,904"
875,Shyam Metalics & Energy Ltd,SHYAMMETL,-0.21%,720.3,"1,598,648"
876,Indian Overseas Bank,IOB,-0.21%,62.99,"8,981,403"
877,Man Infraconstruction Limited,MANINFRA,-0.22%,195.01,"771,489"
878,Kothari Sugars And Chemicals Limited,KOTARISUG,-0.22%,58.66,"240,539"
879,Hardwyn India Ltd,HARDWYN,-0.22%,31.22,"197,063"
880,Balrampur Chini Mills Limited,BALRAMCHIN,-0.23%,426.6,"964,581"
881,New Delhi Television Limited,NDTV,-0.23%,221.66,"120,515"
882,Om Infra Ltd,OMINFRAL,-0.23%,171.61,"102,382"
883,Azad Engineering Ltd,AZAD,-0.25%,1839,"140,468"
884,Rupa & Company Limited,RUPA,-0.25%,283.95,"132,852"
885,Indiabulls Housing Finance Limited,IBULHSGFIN,-0.25%,170.72,"9,139,750"
886,Geojit Financial Services,GEOJITFSL,-0.25%,98.27,"481,826"
887,eMudhra Ltd,EMUDHRA,-0.26%,885.9,"357,392"
888,Eid Parry India Limited,EIDPARRY,-0.26%,759.05,"408,720"
889,PSP Projects,PSPPROJECT,-0.26%,680.85,"69,757"
890,Taj Gvk Hotels & Resorts Limited,TAJGVK,-0.26%,329.95,"125,403"
891,Birla Cable Limited,BIRLACABLE,-0.26%,250.46,"123,956"
892,Trident Limited,TRIDENT,-0.26%,38.19,"7,534,895"
893,Varun Beverages Limited,VBL,-0.27%,1614.15,"664,580"
894,AWFIS Space Solutions Ltd,AWFIS,-0.27%,552.15,"155,827"
895,Indo Count Industries Limited,ICIL,-0.27%,409.6,"384,615"
896,Gulshan Polyols Limited,GULPOLY,-0.27%,208.93,"208,028"
897,Exxaro Tiles Ltd,EXXARO,-0.27%,91.92,"58,917"
898,Tata Nifty India Digital ETF,TNIDETF,-0.27%,87.52,"81,268"
899,Orient Paper & Industries Limited,ORIENTPPR,-0.27%,58.4,"8,478,892"
900,Pokarna Limited,POKARNA,-0.28%,740.8,"58,552"
901,La Opala Rg Limited,LAOPALA,-0.28%,341.4,"150,652"
902,Torrent Power Limited,TORNTPOWER,-0.29%,1509.5,"113,593"
903,Techno Electric & Engineering Company Ltd,TECHNOE,-0.29%,1475.45,"126,750"
904,Arvind Fashions Ltd,ARVINDFASN,-0.29%,532.8,"928,286"
905,Artemis Medicare Services Ltd,ARTEMISMED,-0.29%,183.34,"104,107"
906,Visaka Industries Limited,VISAKAIND,-0.29%,116.29,"241,231"
907,Adani Wilmar Ltd,AWL,-0.3%,332.9,"1,170,818"
908,Harrisons Malayalam Limited,HARRMALAYA,-0.3%,219.08,"118,261"
909,The Ugar Sugar Works Limited,UGARSUGAR,-0.3%,82.97,"228,835"
910,Gokul Refoils And Solvent Limited,GOKUL,-0.3%,39.29,"54,548"
911,Ujjivan Small Finance Bank Ltd,UJJIVANSFB,-0.31%,44.84,"18,646,398"
912,Shivam Autotech Limited,SHIVAMAUTO,-0.31%,41.44,"147,128"
913,Route Mobile Ltd,ROUTE,-0.32%,1765.2,"103,999"
914,Bombay Burmah Trading Corporation Limited,BBTC,-0.33%,2053.55,"95,754"
915,Global Health Ltd,MEDANTA,-0.33%,1266.75,"215,342"
916,Dreamfolks Services Ltd,DREAMFOLKS,-0.33%,479.65,"115,029"
917,Yatra Online Ltd,YATRA,-0.33%,127.57,"284,893"
918,Tv Today Network Limited,TVTODAY,-0.34%,235.92,"89,254"
919,Prism Johnson Ltd,PRSMJOHNSN,-0.34%,166.58,"524,080"
920,Bajaj Hindusthan Sugar Limited,BAJAJHIND,-0.34%,40.88,"14,704,341"
921,HMA Agro Industries Ltd,HMAAGRO,-0.35%,53.68,"271,258"
922,Arihant Superstructures Ltd,ARIHANTSUP,-0.36%,363.5,"79,246"
923,Pnb Gilts Limited,PNBGILTS,-0.36%,131.66,"818,670"
924,Beardsell Limited,BEARDSELL,-0.36%,38.39,"58,177"
925,Federal-mogul Goetze (india) Limited.,FMGOETZE,-0.37%,431.55,"180,171"
926,Bajaj Finserv Limited,BAJAJFINSV,-0.38%,1579.6,"1,070,592"
927,Birlasoft Ltd,BSOFT,-0.38%,714.7,"1,218,415"
928,Bhagiradha Chemicals & Industries Ltd,BHAGCHEM,-0.38%,256.1,"173,624"
929,GTPL Hathway,GTPL,-0.38%,176.81,"59,371"
930,Polyplex Corporation Limited,POLYPLEX,-0.39%,1079.95,"183,127"
931,Hindware Home Innovation Ltd,HINDWAREAP,-0.39%,468.55,"272,911"
932,Uttam Sugar Mills Limited,UTTAMSUGAR,-0.39%,349.1,"120,892"
933,Niit Limited,NIITLTD,-0.39%,117.14,"1,213,984"
934,Nitco Limited,NITCO,-0.39%,76.84,"175,912"
935,Mirae Asset Nifty 100 ESG Sector Leaders ETF,ESG,-0.39%,40.87,"272,538"
936,Jayaswal Neco Industries Limited,JAYNECOIND,-0.4%,47.29,"290,926"
937,Tv18 Broadcast Limited,TV18BRDCST,-0.4%,44.88,"7,755,910"
938,AKI India Ltd,AKI,-0.4%,24.68,"79,573"
939,Shipping Corporation Of India Limited,SCI,-0.41%,268.85,"6,424,974"
940,United Spirits Ltd,UNITDSPR,-0.42%,1254.15,"779,976"
941,Can Fin Homes Limited,CANFINHOME,-0.42%,886.9,"340,493"
942,The India Cements Limited,INDIACEM,-0.42%,284.6,"2,422,351"
943,Geekay Wires Ltd,GEEKAYWIRE,-0.42%,91.09,"137,589"
944,Sundaram Clayton Ltd,SUNCLAY,-0.43%,1739.8,"69,927"
945,Nlc India Limited,NLCINDIA,-0.43%,261.43,"6,712,692"
946,Capri Global Capital Limited,CGCL,-0.43%,211.93,"159,299"
947,Navneet Education Limited,NAVNETEDUL,-0.43%,158.36,"220,577"
948,Ahlada Engineers Ltd,AHLADA,-0.43%,123.11,"57,611"
949,Andhra Cements Ltd,ACL,-0.43%,97.72,"83,482"
950,Max Healthcare Institute Ltd,MAXHEALTH,-0.44%,913.8,"1,337,555"
951,Ashoka Buildcon Limited,ASHOKA,-0.44%,231.62,"830,009"
952,Shalimar Paints Limited,SHALPAINTS,-0.44%,152.98,"668,876"
953,Vipul Limited,VIPULLTD,-0.44%,50.14,"764,307"
954,Muthoot Microfin Ltd,MUTHOOTMF,-0.45%,241.47,"111,319"
955,Tata Motors Limited,TATAMOTORS,-0.46%,993.65,"9,050,375"
956,Zim Laboratories Ltd,ZIMLAB,-0.46%,111.3,"144,841"
957,Jindal Steel & Power Limited,JINDALSTEL,-0.47%,1050.5,"1,445,408"
958,Adani Power Limited,ADANIPOWER,-0.47%,708.9,"2,130,002"
959,Rajesh Exports Limited,RAJESHEXPO,-0.47%,287.1,"234,397"
960,Radico Khaitan Limited,RADICO,-0.48%,1716.25,"208,314"
961,Sapphire Foods India Ltd,SAPPHIRE,-0.48%,1582.4,"75,963"
962,Indbank Merchant Banking Services Limited,INDBANK,-0.48%,49.69,"153,378"
963,Star Health & Allied Insurance Company Ltd,STARHEALTH,-0.49%,585.4,"1,773,765"
964,Renaissance Global Ltd,RGL,-0.49%,104.76,"73,370"
965,Indian Bank,INDIANB,-0.5%,538.85,"1,159,426"
966,Sudarshan Chemical Industries Limited,SUDARSCHEM,-0.51%,920.55,"242,174"
967,Royal Orchid Hotels Limited,ROHLTD,-0.51%,360.7,"92,520"
968,Ncl Industries Limited,NCLIND,-0.51%,254.12,"514,473"
969,Mangalore Chemicals & Fertilizers Limited,MANGCHEFER,-0.51%,126.7,"260,559"
970,G R Infraprojects Ltd,GRINFRA,-0.52%,1788.8,"62,301"
971,Kcp Limited,KCP,-0.52%,253.28,"726,266"
972,Aptech Limited,APTECHT,-0.52%,219.3,"268,452"
973,Radhika Jeweltech Ltd,RADHIKAJWE,-0.52%,61.64,"413,821"
974,Precision Wires India Limited,PRECWIRE,-0.53%,165.21,"444,875"
975,Tata Teleservices (maharashtra) Limited,TTML,-0.53%,76.28,"2,391,233"
976,Surana Solar Limited,SURANASOL,-0.53%,39.6,"191,570"
977,Salasar Techno Engineering Ltd,SALASAR,-0.53%,18.88,"3,885,632"
978,Gna Axles Limited,GNA,-0.54%,434.9,"178,011"
979,Onward Technologies Limited,ONWARDTEC,-0.55%,417.95,"52,479"
980,India Tourism Development Corporation Ltd,ITDC,-0.56%,869.4,"283,257"
981,Pc Jeweller Limited,PCJEWELLER,-0.56%,51.06,"878,723"
982,Manaksia Limited,MANAKSIA,-0.57%,97.75,"90,386"
983,Arihant Capital Markets Ltd,ARIHANTCAP,-0.57%,71.83,"227,338"
984,Easy Trip Planners Ltd,EASEMYTRIP,-0.57%,41.79,"4,106,720"
985,Aakash Exploration Services Ltd,AAKASH,-0.57%,15.59,"1,049,340"
986,Oil India Limited,OIL,-0.58%,489.5,"2,132,461"
987,Aditya Birla Capital Ltd,ABCAPITAL,-0.58%,236.01,"4,524,859"
988,Kohinoor Foods Limited,KOHINOOR,-0.58%,42.49,"80,377"
989,Sumit Woods Ltd,SUMIT,-0.59%,87.12,"68,815"
990,Indusind Bank Limited,INDUSINDBK,-0.6%,1434.25,"4,216,309"
991,Adani Total Gas Ltd,ATGL,-0.6%,891.05,"873,337"
992,Tips Industries Limited,TIPSINDLTD,-0.6%,457.05,"263,898"
993,Onmobile Global Limited,ONMOBILE,-0.6%,72.93,"360,640"
994,Choice International Ltd,CHOICEIN,-0.61%,391.35,"279,334"
995,Gmr Infrastructure Limited,GMRINFRA,-0.62%,96.23,"11,040,422"
996,Tantia Constructions Ltd,TCLCONS,-0.62%,51.52,"98,876"
997,Oberoi Realty Limited,OBEROIRLTY,-0.63%,1785.05,"258,341"
998,Max Financial Services Limited,MFSL,-0.63%,996.1,"268,424"
999,Aadhar Housing Finance Ltd,AADHARHFC,-0.63%,435.35,"1,568,529"
1000,Vishnu Prakash R Punglia Ltd,VPRPL,-0.63%,204.99,"973,594"
1001,Suryoday Small Finance Bank Ltd,SURYODAY,-0.64%,191.47,"408,314"
1002,Rana Sugars Limited,RANASUG,-0.64%,24.96,"734,838"
1003,Relaxo Footwears Limited,RELAXO,-0.66%,829.6,"70,273"
1004,DSP Nifty Bank ETF,BANKETFADD,-0.67%,53.56,"185,871"
1005,Happiest Minds Technologies Ltd,HAPPSTMNDS,-0.68%,826.65,"648,646"
1006,Delhivery Ltd,DELHIVERY,-0.68%,395.55,"1,960,552"
1007,Nitin Spinners Limited,NITINSPIN,-0.68%,363.75,"146,249"
1008,Mmtc Limited,MMTC,-0.68%,85.21,"9,207,098"
1009,Dlf Limited,DLF,-0.69%,832.8,"2,792,876"
1010,Sumitomo Chemical India Ltd,SUMICHEM,-0.69%,489.55,"566,220"
1011,Focus Lighting & Fixtures Ltd,FOCUS,-0.69%,145.75,"290,254"
1012,Jagran Prakashan Limited,JAGRAN,-0.69%,92.02,"306,836"
1013,Apl Apollo Tubes Limited,APLAPOLLO,-0.7%,1569.65,"1,028,694"
1014,Jindal Stainless Limited,JSL,-0.7%,827.8,"454,429"
1015,Nippon India ETF Bank Bees,BANKBEES,-0.7%,539.6,"991,864"
1016,Donear Industries Limited,DONEAR,-0.7%,130.44,"142,440"
1017,Adani Green Energy Ltd,ADANIGREEN,-0.71%,1754.3,"398,933"
1018,Nelcast Limited,NELCAST,-0.71%,150.86,"109,384"
1019,HDFCPVTBAN,HDFCPVTBAN,-0.71%,26.57,"119,933"
1020,Credo Brands Marketing Ltd,MUFTI,-0.72%,168.52,"146,371"
1021,Tega Industries Ltd,TEGA,-0.73%,1750.7,"66,149"
1022,Ester Industries Limited,ESTER,-0.73%,121.32,"154,870"
1023,Edelweiss Financial Services Limited,EDELWEISS,-0.73%,64.95,"2,683,010"
1024,Dr. Lal Path Labs Ltd.,LALPATHLAB,-0.74%,2885,"235,088"
1025,Aries Agro Limited,ARIES,-0.74%,274.8,"86,752"
1026,NMDC Steel Ltd,NSLNISP,-0.74%,57.46,"5,749,933"
1027,Vishwaraj Sugar Industries Ltd,VISHWARAJ,-0.74%,17.34,"1,081,167"
1028,ASK Automotive Ltd,ASKAUTOLTD,-0.75%,392.3,"245,999"
1029,Star Paper Mills Limited,STARPAPER,-0.75%,264.65,"70,269"
1030,Mahindra & Mahindra Limited,M&M,-0.76%,2880.6,"1,966,103"
1031,Motherson Sumi Systems Limited,MOTHERSON,-0.76%,205,"17,319,310"
1032,Insecticides (india) Limited,INSECTICID,-0.77%,699.95,"57,174"
1033,Dish Tv India Limited,DISHTV,-0.77%,15.53,"12,628,328"
1034,Five Star Business Finance Ltd,FIVESTAR,-0.78%,799.1,"195,874"
1035,IRMENERGY,IRMENERGY,-0.78%,465.5,"118,327"
1036,Jk Tyre & Industries Limited,JKTYRE,-0.78%,456.8,"1,141,921"
1037,Endurance Technologies Limited,ENDURANCE,-0.79%,2727.3,"136,732"
1038,Apollo Tyres Limited,APOLLOTYRE,-0.79%,524.35,"2,008,857"
1039,Sinclairs Hotels Ltd,SINCLAIR,-0.79%,115.08,"94,356"
1040,D-link (india) Limited,DLINKINDIA,-0.8%,534.35,"660,254"
1041,Mahindra Holidays & Resorts India Limited,MHRIL,-0.8%,450.35,"125,299"
1042,Infibeam Incorporation Limited,INFIBEAM,-0.8%,29.68,"8,955,306"
1043,IIFL Securities Ltd,IIFLSEC,-0.81%,205,"661,510"
1044,Avt Natural Products Limited,AVTNPL,-0.81%,86.18,"153,583"
1045,Sula Vineyards Ltd,SULA,-0.82%,497.9,"255,482"
1046,Intense Technologies Ltd,INTENTECH,-0.82%,156.62,"118,328"
1047,Autoline Industries Limited,AUTOIND,-0.82%,137.22,"500,207"
1048,Mufin Green Finance Ltd,MUFIN,-0.82%,119.98,"183,523"
1049,Rattanindia Power Limited,RTNPOWER,-0.82%,16.98,"31,302,410"
1050,Rategain Travel Technologies Ltd,RATEGAIN,-0.83%,797.55,"448,697"
1051,SBI ETF Nifty Bank,SETFNIFBK,-0.85%,534.3,"112,086"
1052,Kansai Nerolac Paints Limited,KANSAINER,-0.85%,266.95,"1,266,536"
1053,Allied Digital Services Limited,ADSL,-0.85%,221.92,"1,048,496"
1054,Zuari Agro Chemicals Limited,ZUARI,-0.85%,221.2,"220,298"
1055,Nagreeka Exports Limited,NAGREEKEXP,-0.85%,37.5,"102,203"
1056,Ramco Industries Limited,RAMCOIND,-0.86%,259.05,"105,727"
1057,Hindprakash Industries Ltd,HPIL,-0.86%,183.47,"147,901"
1058,K.m.sugar Mills Limited,KMSUGAR,-0.86%,42.51,"195,135"
1059,Sobha Limited,SOBHA,-0.87%,2021.2,"242,366"
1060,Kiocl Limited,KIOCL,-0.87%,469.45,"191,196"
1061,Huhtamaki India Ltd,HUHTAMAKI,-0.87%,389.65,"260,792"
1062,Cybertech Systems And Software Limited,CYBERTECH,-0.87%,176.62,"114,531"
1063,AAVAS Financiers Ltd,AAVAS,-0.88%,1779.05,"504,158"
1064,Syrma SGS Technology Ltd,SYRMA,-0.88%,502,"525,068"
1065,Panama Petrochem Limited,PANAMAPET,-0.88%,403.65,"164,404"
1066,Global Surfaces Ltd,GSLSU,-0.88%,213.42,"142,769"
1067,Omaxe Limited,OMAXE,-0.88%,124.18,"641,800"
1068,Honasa Consumer Ltd,HONASA,-0.89%,482.35,"2,551,310"
1069,Tamil Nadu Newsprint & Papers Limited,TNPL,-0.89%,282.9,"180,551"
1070,Gopal Snacks Ltd,GOPAL,-0.9%,326.6,"81,935"
1071,Tata Steel Limited,TATASTEEL,-0.9%,174.71,"38,123,217"
1072,Rain Industries Limited,RAIN,-0.9%,166.59,"1,266,660"
1073,DSP Nifty Private Bank ETF,PVTBANKADD,-0.9%,26.45,"140,732"
1074,Gujarat Alkalies And Chemicals Limited,GUJALKALI,-0.91%,779.3,"50,040"
1075,Rswm Limited,RSWM,-0.91%,225.06,"299,267"
1076,HDFC Nifty Banking ETF,HDFCNIFBAN,-0.91%,53.62,"133,567"
1077,Minda Corporation Limited,MINDACORP,-0.93%,492.4,"129,097"
1078,Aditya Birla Sun Life Banking ETF,ABSLBANETF,-0.93%,53.2,"160,005"
1079,Avadh Sugar & Energy,AVADHSUGAR,-0.94%,646.45,"68,299"
1080,Saksoft Limited,SAKSOFT,-0.94%,284.7,"144,207"
1081,Snowman Logistics Limited,SNOWMAN,-0.94%,78.02,"1,223,648"
1082,Imagicaaworld Entertainment Ltd,IMAGICAA,-0.94%,75.98,"1,255,010"
1083,Paisalo Digital Ltd,PAISALO,-0.94%,73.39,"962,896"
1084,ICICI Prudential Nifty Private Bank ETF,PVTBANIETF,-0.94%,26.31,"2,121,485"
1085,Ion Exchange (India) Ltd,IONEXCHANG,-0.95%,653.65,"310,128"
1086,Oriental Carbon & Chemicals Limited,OCCL,-0.96%,215.9,"75,373"
1087,Jubilant Ingrevia Ltd,JUBLINGREA,-0.97%,536.35,"203,599"
1088,Exicom Tele-Systems Ltd,EXICOM,-0.97%,486.2,"1,133,817"
1089,ICICI Prudential Nifty Bank ETF,BANKIETF,-0.97%,53.35,"499,596"
1090,Paras Defence and Space Technologies Ltd,PARAS,-0.98%,1545.05,"1,756,698"
1091,Websol Energy System Limited,WEBELSOLAR,-0.98%,573.25,"73,230"
1092,UTI Bank ETF,UTIBANKETF,-0.98%,53.72,"283,395"
1093,Mirae Asset Nifty Financial Services ETF - RG,BFSI,-0.98%,24.18,"1,025,933"
1094,Dilip Buildcon Limited,DBL,-1.01%,540.75,"228,359"
1095,Gandhar Oil Refinery (India) Ltd,GANDHAR,-1.01%,216.13,"314,027"
1096,Sakthi Sugars Limited,SAKHTISUG,-1.02%,37.9,"791,796"
1097,Cigniti Technologies Limited,CIGNITITEC,-1.03%,1368.2,"503,323"
1098,Affle India Ltd,AFFLE,-1.03%,1339.4,"416,633"
1099,Itd Cementation India Limited,ITDCEM,-1.03%,482.3,"3,261,163"
1100,Nath Bio-genes (india) Limited,NATHBIOGEN,-1.04%,255.12,"189,498"
1101,Confidence Petroleum India Ltd,CONFIPET,-1.04%,81.69,"1,014,005"
1102,Just Dial Limited,JUSTDIAL,-1.05%,1022.65,"98,798"
1103,Borosil Ltd,BOROLTD,-1.05%,383.35,"376,109"
1104,Paradeep Phosphates Ltd,PARADEEP,-1.05%,84.14,"3,017,111"
1105,Godrej Agrovet Ltd,GODREJAGRO,-1.06%,789.4,"334,260"
1106,Fineotex Chemical Limited,FCL,-1.06%,387.3,"255,949"
1107,Anmol India Ltd,ANMOL,-1.07%,35.21,"68,444"
1108,Ht Media Limited,HTMEDIA,-1.07%,27.74,"375,306"
1109,Va Tech Wabag Limited,WABAG,-1.08%,1316.3,"325,853"
1110,Surya Roshni Limited,SURYAROSNI,-1.08%,666.55,"254,137"
1111,Hariom Pipe Industries Ltd,HARIOMPIPE,-1.08%,586.85,"57,572"
1112,Parag Milk Foods Limited,PARAGMILK,-1.08%,180.94,"441,726"
1113,Intellect Design Arena Limited,INTELLECT,-1.09%,1085.45,"93,725"
1114,Gufic Biosciences Limited,GUFICBIO,-1.09%,364.5,"81,383"
1115,Electronics Mart India Ltd,EMIL,-1.09%,225.1,"224,250"
1116,Oswal Agro Mills Ltd,OSWALAGRO,-1.09%,45.58,"59,167"
1117,Bikaji Foods International Ltd,BIKAJI,-1.11%,706.65,"334,893"
1118,Rossari Biotech Ltd,ROSSARI,-1.12%,819.8,"97,914"
1119,W S Industries (i) Limited,WSI,-1.14%,168.9,"350,640"
1120,Pudumjee Paper Products Limited,PDMJEPAPER,-1.14%,126.84,"489,324"
1121,Carborundum Universal Limited,CARBORUNIV,-1.15%,1690.4,"89,379"
1122,Piramal Enterprises Limited,PEL,-1.15%,935.2,"1,417,922"
1123,SMC Global Securities Ltd,SMCGLOBAL,-1.15%,152.87,"216,511"
1124,Globus Spirits Limited,GLOBUSSPR,-1.18%,819.05,"117,294"
1125,Aptus Value Housing Finance India Ltd,APTUS,-1.18%,340.05,"279,917"
1126,Adf Foods Limited,ADFFOODS,-1.18%,232.94,"154,797"
1127,Cambridge Technology Enterprises Limited,CTE,-1.18%,125.85,"75,281"
1128,Epigral Ltd,EPIGRAL,-1.19%,1532.05,"77,483"
1129,Ncc Limited,NCC,-1.19%,335.75,"5,240,026"
1130,20 Microns Limited,20MICRONS,-1.19%,224.72,"201,028"
1131,Udayshivakumar Infra Ltd,USK,-1.19%,77.33,"164,823"
1132,Gp Petroleums Limited,GULFPETRO,-1.19%,70.63,"246,465"
1133,Country Club Hospitality & Holidays Limited,CCHHL,-1.19%,29.16,"4,228,565"
1134,Graphite India Limited,GRAPHITE,-1.2%,571.65,"700,074"
