Sr.,Stock Name,Symbol,% Chg,Price,Volume
521,West Coast Paper Mills Limited,WSTCSTPAPR,0.76%,714.9,"253,382"
522,UTI Silver ETF,SILVERETF,0.76%,91.46,"200,463"
523,Rashtriya Chemicals And Fertilizers Limited,RCF,0.75%,203.94,"9,978,075"
524,ICICI Prudential Nifty Midcap 150 ETF,MIDCAPIETF,0.74%,21.89,"572,705"
525,Godrej Consumer Products Limited,GODREJCP,0.73%,1373.8,"579,386"
526,Rossell India Limited,ROSSELLIND,0.73%,576.8,"124,155"
527,Nippon India ETF Dividend Opportunities,DIVOPPBEES,0.73%,81.76,"76,741"
528,Torrent Pharmaceuticals Limited,TORNTPHARM,0.72%,2891.1,"252,725"
529,Heg Limited,HEG,0.72%,2264.6,"1,373,947"
530,Abans Holdings Ltd,AHL,0.72%,494.65,"112,567"
531,Vip Industries Limited,VIPIND,0.72%,481.75,"410,499"
532,Manappuram Finance Limited,MANAPPURAM,0.72%,209.92,"4,868,313"
533,Zee Entertainment Enterprises Limited,ZEEL,0.72%,151.1,"15,595,180"
534,Reliance Industrial Infrastructure Limited,RIIL,0.71%,1389.9,"362,937"
535,Shaily Engineering Plastics Ltd,SHAILY,0.71%,888.05,"76,032"
536,Orient Green Power Company Limited,GREENPOWER,0.71%,21.35,"9,454,202"
537,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,0.7%,1431.6,"514,803"
538,Vishnu Chemicals Limited,VISHNU,0.7%,462.9,"117,638"
539,Capacite Infraprojects Ltd,CAPACITE,0.7%,302.25,"487,465"
540,Mirae Asset Nifty Midcap 150 ETF,MIDCAPETF,0.7%,21.58,"1,732,097"
541,Shree Digvijay Cement Co. Ltd,SHREDIGCEM,0.69%,113.61,"958,522"
542,AFIL,AFIL,0.69%,110.85,"155,302"
543,Jay Bharat Maruti Limited,JAYBARMARU,0.69%,109.08,"128,590"
544,ICICI Prudential Nifty Next 50 ETF,NEXT50IETF,0.69%,76.3,"508,572"
545,Sun Pharmaceuticals Industries Limited,SUNPHARMA,0.67%,1568.4,"2,481,046"
546,Natco Pharma Limited,NATCOPHARM,0.66%,1223.9,"760,362"
547,Den Networks Limited,DEN,0.66%,55.02,"1,774,151"
548,Tgb Banquets And Hotels Limited,TGBHOTELS,0.66%,16.85,"153,387"
549,Indian Oil Corporation Limited,IOC,0.65%,171.28,"26,431,264"
550,Mirae Asset Nifty India Manufacturing ETF,MAKEINDIA,0.65%,151.25,"119,534"
551,Himatsingka Seide Limited,HIMATSEIDE,0.65%,141.94,"327,116"
552,Manaksia Aluminium Company Limited,MANAKALUCO,0.65%,27.94,"76,401"
553,Hcl Infosystems Limited,HCL-INSYS,0.65%,16.95,"213,131"
554,Tata Communications Limited,TATACOMM,0.64%,1888.3,"247,619"
555,Narayana Hrudayalaya Ltd.,NH,0.64%,1249.65,"310,533"
556,Shriram Properties Ltd,SHRIRAMPPS,0.63%,110.99,"1,245,043"
557,Mirae Asset NYSE FANG+ ETF,MAFANG,0.63%,98.72,"504,727"
558,GFL Ltd,GFLLIMITED,0.63%,79.62,"57,566"
559,ICICI Prudential Nifty 200 Momentum 30 ETF,MOM30IETF,0.63%,37.02,"1,507,304"
560,Lupin Limited,LUPIN,0.62%,1770.2,"1,707,589"
561,Hindustan Foods Ltd,HNDFDS,0.62%,553.4,"202,604"
562,The Investment Trust of India Ltd,THEINVEST,0.62%,187.71,"212,485"
563,Motilal Oswal Nifty Smallcap 250 ETF,MOSMALL250,0.62%,17.8,"604,689"
564,Jubilant Foodworks Limited,JUBLFOOD,0.61%,570.55,"837,793"
565,Nippon India ETF Consumption,CONSUMBEES,0.6%,123.89,"83,129"
566,Kamdhenu Ventures Ltd,KAMOPAINTS,0.6%,40.42,"5,301,015"
567,Havells India Limited,HAVELLS,0.59%,1893.65,"474,114"
568,Aditya Birla Sun Life AMC Ltd,ABSLAMC,0.59%,659.55,"489,872"
569,Greenply Industries Limited,GREENPLY,0.59%,334.75,"129,588"
570,Indo Amines Ltd,INDOAMIN,0.58%,137.71,"124,566"
571,Gateway Distriparks Ltd,GATEWAY,0.58%,106,"492,468"
572,Netweb Technologies India Ltd,NETWEB,0.57%,2641.6,"145,332"
573,Ambuja Cements Limited,AMBUJACEM,0.57%,686,"4,592,446"
574,R K Swamy Ltd,RKSWAMY,0.57%,265.35,"67,946"
575,Gujarat Ambuja Exports Limited,GAEL,0.57%,140.61,"1,797,527"
576,HDFCSILVER,HDFCSILVER,0.57%,88.66,"423,756"
577,Servotech Power Systems Ltd,SERVOTECH,0.57%,88.58,"1,462,104"
578,Voltas Limited,VOLTAS,0.56%,1452.75,"353,725"
579,HDFC Life Insurance Company Ltd,HDFCLIFE,0.56%,607.35,"3,493,050"
580,RPTECH,RPTECH,0.56%,406.15,"1,776,000"
581,HP Adhesives Ltd,HPAL,0.56%,99.46,"313,801"
582,Ismt Limited,ISMTLTD,0.55%,138.24,"795,807"
583,MOMENTUM,MOMENTUM,0.55%,36.74,"188,410"
584,Life Insurance Corporation of India,LICI,0.54%,1015.65,"2,331,848"
585,JSW Infrastructure Ltd,JSWINFRA,0.54%,356.65,"1,907,398"
586,Jio Financial Services Ltd,JIOFIN,0.54%,352.75,"15,513,571"
587,Vls Finance Limited,VLSFINANCE,0.54%,298.9,"90,824"
588,T T Limited,TTL,0.54%,118.52,"61,859"
589,Ashoka Metcast Ltd,ASHOKAMET,0.54%,20.43,"139,290"
590,C.E. Info Systems Ltd,MAPMYINDIA,0.53%,2460.5,"198,766"
591,Bajaj Consumer Care Ltd,BAJAJCON,0.53%,263.75,"395,067"
592,KFin Technologies Ltd,KFINTECH,0.52%,751.1,"277,744"
593,Edelweiss Silver ETF,ESILVER,0.52%,92.49,"66,254"
594,Sadhana Nitro Chem Ltd,SADHNANIQ,0.52%,67.46,"162,084"
595,Pritish Nandy Communications Limited,PNC,0.52%,66.01,"50,743"
596,Tamilnad Mercantile Bank Ltd,TMB,0.51%,482.5,"74,004"
597,ICICI Prudential Nifty Commodities ETF,COMMOIETF,0.51%,94.1,"73,358"
598,ESAF Small Finance Bank Ltd,ESAFSFB,0.51%,52.93,"2,877,664"
599,ICICI Prudential Nifty 200 Quality 30 ETF,QUAL30IETF,0.51%,21.49,"313,287"
600,Avanti Feeds Limited,AVANTIFEED,0.5%,610.55,"288,137"
601,Iifl Holdings Limited,IIFL,0.5%,523.1,"1,560,730"
602,Rishabh Instruments Ltd,RISHABH,0.5%,448.15,"122,674"
603,PLAZACABLE,PLAZACABLE,0.5%,88.34,"131,346"
604,Dhani Services Ltd,DHANI,0.5%,56.21,"4,405,676"
605,Sanginita Chemicals Ltd,SANGINITA,0.5%,18.18,"106,727"
606,Varroc Engineering Ltd,VARROC,0.49%,672.3,"141,328"
607,Grasim Industries Limited,GRASIM,0.48%,2748,"372,709"
608,Astec Lifesciences Limited,ASTEC,0.48%,1458.4,"54,500"
609,Axis Bank Limited,AXISBANK,0.48%,1287.05,"8,593,502"
610,Aarti Industries Limited,AARTIIND,0.48%,721.9,"696,843"
611,ICICI Prudential Nifty 100 Low Volatility 30 ETF,LOWVOLIETF,0.48%,21.04,"464,147"
612,Bharti Airtel Limited,BHARTIARTL,0.47%,1429.7,"4,881,198"
613,Mahindra Logistics Ltd,MAHLOG,0.47%,520.25,"217,335"
614,Spencers Retail Ltd,SPENCERS,0.46%,86.78,"469,732"
615,Motilal Oswal Nifty 200 Momentum 30 ETF,MOMOMENTUM,0.46%,73.69,"161,724"
616,Mukka Proteins Ltd,MUKKA,0.46%,34.99,"1,338,830"
617,Moksh Ornaments Ltd,MOKSH,0.46%,15.33,"121,278"
618,Sun Tv Network Limited,SUNTV,0.45%,784.55,"629,797"
619,Dharmaj Crop Guard Ltd,DHARMAJ,0.45%,309.31,"397,529"
620,Cantabil Retail India Limited,CANTABIL,0.45%,256.91,"131,078"
621,Allcargo Logistics Limited,ALLCARGO,0.45%,64.46,"3,531,499"
622,Srf Limited,SRF,0.44%,2400.75,"366,450"
623,Tejas Networks,TEJASNET,0.44%,1439.1,"577,794"
624,ICICI Prudential Nifty India Consumption ETF,CONSUMIETF,0.44%,114.76,"87,651"
625,HDFC Nifty 200 Momentum 30 ETF,HDFCMOMENT,0.44%,36.49,"203,065"
626,Fertilizers And Chemicals Travancore Limited,FACT,0.43%,1017.25,"530,792"
627,Godrej Industries Limited,GODREJIND,0.43%,893.05,"184,995"
628,Saregama India Limited,SAREGAMA,0.43%,547.85,"102,724"
629,Usha Martin Limited,USHAMART,0.43%,411.2,"1,665,898"
630,Motilal Oswal NASDAQ 100 ETF,MON100,0.43%,165.97,"309,070"
631,GMM Pfaudler Ltd,GMMPFAUDLR,0.42%,1410.55,"151,691"
632,SBI Cards & Payment Services Ltd,SBICARD,0.42%,721.95,"546,703"
633,Saurashtra Cement Ltd,SAURASHCEM,0.42%,135.4,"159,438"
634,Canara Bank,CANBK,0.42%,117.76,"20,103,764"
635,Pearl Global Industries Limited,PGIL,0.41%,750.8,"141,099"
636,SBI Gold ETS,SETFGOLD,0.41%,63.27,"539,935"
637,Deepak Nitrite Limited,DEEPAKNTR,0.4%,2687.8,"302,861"
638,Coal India Limited,COALINDIA,0.4%,491.5,"5,754,517"
639,Piramal Pharma Ltd,PPLPHARMA,0.4%,157.99,"2,485,293"
640,Kotak Nifty 100 Low Vol 30 ETF,LOWVOL1,0.4%,19.92,"129,057"
641,J.kumar Infraprojects Limited,JKIL,0.39%,903.3,"158,762"
642,Cartrade Tech Ltd,CARTRADE,0.39%,845.25,"155,217"
643,Upl Limited,UPL,0.39%,572.7,"1,072,378"
644,Indian Energy Exchange Ltd,IEX,0.39%,184.35,"7,403,916"
645,UTI Nifty Next 50 ETF,UTINEXT50,0.39%,77.89,"107,769"
646,Krishna Institute of Medical Sciences Ltd,KIMS,0.38%,2134.7,"50,668"
647,Pondy Oxides & Chemicals Ltd,POCL,0.38%,945.8,"162,500"
648,Motherson Sumi Wiring India Ltd,MSUMI,0.38%,73.39,"5,574,842"
649,Kotak Nifty MNC ETF,MNC,0.38%,31.47,"103,703"
650,Stove Kraft Ltd,STOVEKRAFT,0.37%,640.95,"206,257"
651,Celebrity Fashions Limited,CELEBRITY,0.37%,19.04,"170,419"
652,Muthoot Finance Limited,MUTHOOTFIN,0.36%,1810.6,"112,079"
653,Amara Raja Energy & Mobility Ltd,ARE&M,0.36%,1694.65,"674,707"
654,India Shelter Finance Corporation Ltd,INDIASHLTR,0.36%,747.15,"236,680"
655,Elgi Equipments Limited,ELGIEQUIP,0.36%,737.85,"83,112"
656,Triveni Engineering & Industries Limited,TRIVENI,0.36%,395.15,"378,612"
657,UTI Nifty ETF,UTINIFTETF,0.36%,263.7,"218,502"
658,Ruchira Papers Limited,RUCHIRA,0.36%,143.5,"164,288"
659,HDFC Gold ETF,HDFCGOLD,0.36%,63.42,"386,088"
660,ICICI Prudential Nifty Financial Serv. Ex-Bank ETF,FINIETF,0.36%,25.29,"159,652"
661,Eros International Media Limited,EROSMEDIA,0.36%,19.72,"498,293"
662,HDFC Nifty 100 Low Volatility 30 ETF,HDFCLOWVOL,0.36%,19.53,"68,570"
663,Maithan Alloys Limited,MAITHANALL,0.35%,1263.05,"66,807"
664,Delta Corp Limited,DELTACORP,0.35%,134.53,"1,937,525"
665,Mirae Asset Nifty 200 Alpha 30 ETF,ALPHAETF,0.35%,28.54,"403,173"
666,Lic Housing Finance Limited,LICHSGFIN,0.34%,795.7,"1,698,197"
667,Century Enka Limited,CENTENKA,0.34%,611.4,"73,661"
668,Share India Securities Ltd,SHAREINDIA,0.34%,305.5,"510,061"
669,Satia Industries Ltd,SATIA,0.34%,138.24,"1,021,148"
670,Tata Motors Limited,TATAMTRDVR,0.33%,678.65,"1,338,520"
671,Ramky Infrastructure Limited,RAMKY,0.33%,618.35,"159,871"
672,Welspun Living Ltd,WELSPUNLIV,0.32%,151.45,"969,494"
673,ICICI Prudential Nifty 100 ETF,NIF100IETF,0.32%,28.02,"115,247"
674,Exide Industries Limited,EXIDEIND,0.31%,567.95,"2,043,238"
675,Eveready Industries India Limited,EVEREADY,0.31%,360.2,"209,771"
676,Rallis India Limited,RALLIS,0.31%,339.15,"792,493"
677,Mangalore Refinery And Petrochemicals Limited,MRPL,0.31%,217.96,"2,302,889"
678,Som Distilleries & Breweries Limited,SDBL,0.31%,118.46,"959,788"
679,Kotak Gold ETF,GOLD1,0.31%,61.93,"256,695"
680,Nippon India ETF Gold Bees,GOLDBEES,0.31%,61.48,"7,776,786"
681,The Indian Hotels Company Limited,INDHOTEL,0.3%,614.5,"2,592,445"
682,Indian Terrain Fashions Limited,INDTERRAIN,0.3%,76.07,"130,822"
683,Bank Of Maharashtra,MAHABANK,0.3%,63.77,"10,493,789"
684,Borosil Renewables Ltd,BORORENEW,0.29%,516.25,"411,780"
685,DSP Nifty 50 Equal Weight ETF,EQUAL50ADD,0.29%,314.16,"657,802"
686,Axis Gold ETF,AXISGOLD,0.29%,61.96,"615,495"
687,Uno Minda Ltd,UNOMINDA,0.28%,1163.9,"650,398"
688,Asahi India Glass Limited,ASAHIINDIA,0.28%,690.45,"97,620"
689,Vimta Labs Limited,VIMTALABS,0.28%,521.85,"105,826"
690,Welspun Enterprises Limited,WELENT,0.28%,486.15,"285,955"
691,Berger Paints (i) Limited,BERGEPAINT,0.27%,514.4,"949,375"
692,Crompton Greaves Consumer Electricals Limited,CROMPTON,0.27%,409.7,"3,302,341"
693,Nmdc Limited,NMDC,0.27%,252.28,"14,121,287"
694,Edelweiss Gold ETF,EGOLD,0.27%,74.5,"57,744"
695,Damodar Industries Limited,DAMODARIND,0.27%,51.55,"103,645"
696,Pasupati Acrylon Ltd,PASUPTAC,0.27%,40.24,"237,507"
697,Jubilant Pharmova Ltd,JUBLPHARMA,0.25%,751.4,"381,682"
698,Bliss Gvs Pharma Limited,BLISSGVS,0.25%,113.73,"1,203,586"
699,SBFC Finance Ltd,SBFC,0.25%,83.46,"1,271,351"
700,Mahanagar Telephone Nigam Limited,MTNL,0.25%,40.56,"2,369,373"
701,Kirloskar Oil Engines Limited,KIRLOSENG,0.24%,1392,"118,651"
702,Krbl Limited,KRBL,0.24%,316.95,"2,042,120"
703,Iti Limited,ITI,0.24%,310.3,"1,776,509"
704,Elin Electronics Ltd,ELIN,0.24%,203.51,"157,347"
705,Kriti Industries (India) Ltd,KRITI,0.23%,192.97,"93,114"
706,VALIANTLAB,VALIANTLAB,0.23%,138.98,"94,468"
707,Aro Granite Industries Limited,AROGRANITE,0.23%,60.27,"166,933"
708,Mirae Asset S&P 500 Top 50 ETF,MASPTOP50,0.23%,44.12,"177,999"
709,BSLNIFTY,BSLNIFTY,0.22%,27.86,"341,622"
710,Vindhya Telelinks Limited,VINDHYATEL,0.21%,2518.4,"59,384"
711,Praj Industries Limited,PRAJIND,0.21%,733.15,"341,028"
712,Lumax Auto Technologies Limited,LUMAXTECH,0.21%,577.9,"252,260"
713,Nippon India Nifty Auto ETF,AUTOBEES,0.21%,258.33,"146,402"
714,Dhampur Sugar Mills Limited,DHAMPURSUG,0.21%,223.61,"276,131"
715,Chamanlal Setia Exports Ltd,CLSEL,0.21%,208.87,"55,775"
716,Nhpc Limited,NHPC,0.21%,103.82,"74,213,267"
717,Senco Gold Ltd,SENCO,0.2%,1082.85,"168,690"
718,Heranba Industries Ltd,HERANBA,0.2%,382.9,"82,103"
719,Xchanging Solutions Limited,XCHANGING,0.2%,124.22,"469,711"
720,Punjab & Sind Bank,PSB,0.2%,59.1,"1,168,246"
721,TATA Consumer Products Ltd,TATACONSUM,0.19%,1137.4,"1,281,630"
722,Medi Assist Healthcare Services Ltd,MEDIASSIST,0.19%,541.05,"180,007"
723,Dwarikesh Sugar Industries Limited,DWARKESH,0.19%,75.56,"1,206,169"
724,ICICI Prudential Gold ETF,GOLDIETF,0.19%,63.31,"1,076,552"
